"species"	"site"	"season"	"count"
"10"	"61"	"1"	NA
"1"	"62"	"1"	0
"2"	"62"	"1"	0
"3"	"62"	"1"	0
"4"	"62"	"1"	2
"5"	"62"	"1"	0
"6"	"62"	"1"	0
"7"	"62"	"1"	1
"8"	"62"	"1"	3
"9"	"62"	"1"	0
"10"	"62"	"1"	0
"1"	"63"	"1"	1
"2"	"63"	"1"	2
"3"	"63"	"1"	2
"4"	"63"	"1"	6
"5"	"63"	"1"	0
"6"	"63"	"1"	0
"7"	"63"	"1"	0
"8"	"63"	"1"	1
"9"	"63"	"1"	0
"10"	"63"	"1"	0
"1"	"64"	"1"	0
"2"	"64"	"1"	0
"3"	"64"	"1"	0
"4"	"64"	"1"	9
"5"	"64"	"1"	0
"6"	"64"	"1"	1
"7"	"64"	"1"	2
"8"	"64"	"1"	1
"9"	"64"	"1"	6
"10"	"64"	"1"	6
"1"	"65"	"1"	0
"2"	"65"	"1"	3
"3"	"65"	"1"	0
"4"	"65"	"1"	2
"5"	"65"	"1"	0
"6"	"65"	"1"	0
"7"	"65"	"1"	1
"8"	"65"	"1"	1
"9"	"65"	"1"	0
"10"	"65"	"1"	0
"1"	"66"	"1"	NA
"2"	"66"	"1"	NA
"3"	"66"	"1"	NA
"4"	"66"	"1"	NA
"5"	"66"	"1"	NA
"6"	"66"	"1"	NA
"7"	"66"	"1"	NA
"8"	"66"	"1"	NA
"9"	"66"	"1"	NA
"10"	"66"	"1"	NA
"1"	"67"	"1"	1
"2"	"67"	"1"	3
"3"	"67"	"1"	0
"4"	"67"	"1"	5
"5"	"67"	"1"	0
"6"	"67"	"1"	0
"7"	"67"	"1"	0
"8"	"67"	"1"	0
"9"	"67"	"1"	0
"10"	"67"	"1"	0
"1"	"68"	"1"	0
"2"	"68"	"1"	1
"3"	"68"	"1"	0
"4"	"68"	"1"	0
"5"	"68"	"1"	0
"6"	"68"	"1"	0
"7"	"68"	"1"	0
"8"	"68"	"1"	0
"9"	"68"	"1"	0
"10"	"68"	"1"	0
"1"	"69"	"1"	0
"2"	"69"	"1"	0
"3"	"69"	"1"	0
"4"	"69"	"1"	0
"5"	"69"	"1"	0
"6"	"69"	"1"	0
"7"	"69"	"1"	0
"8"	"69"	"1"	0
"9"	"69"	"1"	0
"10"	"69"	"1"	0
"1"	"70"	"1"	NA
"2"	"70"	"1"	NA
"3"	"70"	"1"	NA
"4"	"70"	"1"	NA
"5"	"70"	"1"	NA
"6"	"70"	"1"	NA
"7"	"70"	"1"	NA
"8"	"70"	"1"	NA
"9"	"70"	"1"	NA
"10"	"70"	"1"	NA
"1"	"71"	"1"	NA
"2"	"71"	"1"	NA
"3"	"71"	"1"	NA
"4"	"71"	"1"	NA
"5"	"71"	"1"	NA
"6"	"71"	"1"	NA
"7"	"71"	"1"	NA
"8"	"71"	"1"	NA
"9"	"71"	"1"	NA
"10"	"71"	"1"	NA
"1"	"72"	"1"	NA
"2"	"72"	"1"	NA
"3"	"72"	"1"	NA
"4"	"72"	"1"	NA
"5"	"72"	"1"	NA
"6"	"72"	"1"	NA
"7"	"72"	"1"	NA
"8"	"72"	"1"	NA
"9"	"72"	"1"	NA
"10"	"72"	"1"	NA
"1"	"73"	"1"	NA
"2"	"73"	"1"	NA
"3"	"73"	"1"	NA
"4"	"73"	"1"	NA
"5"	"73"	"1"	NA
"6"	"73"	"1"	NA
"7"	"73"	"1"	NA
"8"	"73"	"1"	NA
"9"	"73"	"1"	NA
"10"	"73"	"1"	NA
"1"	"74"	"1"	NA
"2"	"74"	"1"	NA
"3"	"74"	"1"	NA
"4"	"74"	"1"	NA
"5"	"74"	"1"	NA
"6"	"74"	"1"	NA
"7"	"74"	"1"	NA
"8"	"74"	"1"	NA
"9"	"74"	"1"	NA
"10"	"74"	"1"	NA
"1"	"75"	"1"	NA
"2"	"75"	"1"	NA
"3"	"75"	"1"	NA
"4"	"75"	"1"	NA
"5"	"75"	"1"	NA
"6"	"75"	"1"	NA
"7"	"75"	"1"	NA
"8"	"75"	"1"	NA
"9"	"75"	"1"	NA
"10"	"75"	"1"	NA
"1"	"76"	"1"	NA
"2"	"76"	"1"	NA
"3"	"76"	"1"	NA
"4"	"76"	"1"	NA
"5"	"76"	"1"	NA
"6"	"76"	"1"	NA
"7"	"76"	"1"	NA
"8"	"76"	"1"	NA
"9"	"76"	"1"	NA
"10"	"76"	"1"	NA
"1"	"77"	"1"	NA
"2"	"77"	"1"	NA
"3"	"77"	"1"	NA
"4"	"77"	"1"	NA
"5"	"77"	"1"	NA
"6"	"77"	"1"	NA
"7"	"77"	"1"	NA
"8"	"77"	"1"	NA
"9"	"77"	"1"	NA
"10"	"77"	"1"	NA
"1"	"78"	"1"	NA
"2"	"78"	"1"	NA
"3"	"78"	"1"	NA
"4"	"78"	"1"	NA
"5"	"78"	"1"	NA
"6"	"78"	"1"	NA
"7"	"78"	"1"	NA
"8"	"78"	"1"	NA
"9"	"78"	"1"	NA
"10"	"78"	"1"	NA
"1"	"79"	"1"	NA
"2"	"79"	"1"	NA
"3"	"79"	"1"	NA
"4"	"79"	"1"	NA
"5"	"79"	"1"	NA
"6"	"79"	"1"	NA
"7"	"79"	"1"	NA
"8"	"79"	"1"	NA
"9"	"79"	"1"	NA
"10"	"79"	"1"	NA
"1"	"80"	"1"	0
"2"	"80"	"1"	4
"3"	"80"	"1"	2
"4"	"80"	"1"	2
"5"	"80"	"1"	0
"6"	"80"	"1"	0
"7"	"80"	"1"	0
"8"	"80"	"1"	1
"9"	"80"	"1"	0
"10"	"80"	"1"	0
"1"	"81"	"1"	NA
"2"	"81"	"1"	NA
"3"	"81"	"1"	NA
"4"	"81"	"1"	NA
"5"	"81"	"1"	NA
"6"	"81"	"1"	NA
"7"	"81"	"1"	NA
"8"	"81"	"1"	NA
"9"	"81"	"1"	NA
"10"	"81"	"1"	NA
"1"	"82"	"1"	NA
"2"	"82"	"1"	NA
"3"	"82"	"1"	NA
"4"	"82"	"1"	NA
"5"	"82"	"1"	NA
"6"	"82"	"1"	NA
"7"	"82"	"1"	NA
"8"	"82"	"1"	NA
"9"	"82"	"1"	NA
"10"	"82"	"1"	NA
"1"	"83"	"1"	NA
"2"	"83"	"1"	NA
"3"	"83"	"1"	NA
"4"	"83"	"1"	NA
"5"	"83"	"1"	NA
"6"	"83"	"1"	NA
"7"	"83"	"1"	NA
"8"	"83"	"1"	NA
"9"	"83"	"1"	NA
"10"	"83"	"1"	NA
"1"	"84"	"1"	0
"2"	"84"	"1"	0
"3"	"84"	"1"	0
"4"	"84"	"1"	0
"5"	"84"	"1"	0
"6"	"84"	"1"	0
"7"	"84"	"1"	0
"8"	"84"	"1"	1
"9"	"84"	"1"	0
"10"	"84"	"1"	0
"1"	"85"	"1"	NA
"2"	"85"	"1"	NA
"3"	"85"	"1"	NA
"4"	"85"	"1"	NA
"5"	"85"	"1"	NA
"6"	"85"	"1"	NA
"7"	"85"	"1"	NA
"8"	"85"	"1"	NA
"9"	"85"	"1"	NA
"10"	"85"	"1"	NA
"1"	"86"	"1"	NA
"2"	"86"	"1"	NA
"3"	"86"	"1"	NA
"4"	"86"	"1"	NA
"5"	"86"	"1"	NA
"6"	"86"	"1"	NA
"7"	"86"	"1"	NA
"8"	"86"	"1"	NA
"9"	"86"	"1"	NA
"10"	"86"	"1"	NA
"1"	"87"	"1"	1
"2"	"87"	"1"	1
"3"	"87"	"1"	0
"4"	"87"	"1"	3
"5"	"87"	"1"	0
"6"	"87"	"1"	0
"7"	"87"	"1"	0
"8"	"87"	"1"	3
"9"	"87"	"1"	0
"10"	"87"	"1"	0
"1"	"88"	"1"	3
"2"	"88"	"1"	2
"3"	"88"	"1"	0
"4"	"88"	"1"	4
"5"	"88"	"1"	0
"6"	"88"	"1"	0
"7"	"88"	"1"	0
"8"	"88"	"1"	0
"9"	"88"	"1"	0
"10"	"88"	"1"	0
"1"	"89"	"1"	NA
"2"	"89"	"1"	NA
"3"	"89"	"1"	NA
"4"	"89"	"1"	NA
"5"	"89"	"1"	NA
"6"	"89"	"1"	NA
"7"	"89"	"1"	NA
"8"	"89"	"1"	NA
"9"	"89"	"1"	NA
"10"	"89"	"1"	NA
"1"	"90"	"1"	1
"2"	"90"	"1"	4
"3"	"90"	"1"	0
"4"	"90"	"1"	0
"5"	"90"	"1"	0
"6"	"90"	"1"	0
"7"	"90"	"1"	0
"8"	"90"	"1"	3
"9"	"90"	"1"	0
"10"	"90"	"1"	0
"1"	"91"	"1"	0
"2"	"91"	"1"	2
"3"	"91"	"1"	0
"4"	"91"	"1"	2
"5"	"91"	"1"	0
"6"	"91"	"1"	0
"7"	"91"	"1"	0
"8"	"91"	"1"	0
"9"	"91"	"1"	0
"10"	"91"	"1"	0
"1"	"92"	"1"	0
"2"	"92"	"1"	8
"3"	"92"	"1"	0
"4"	"92"	"1"	0
"5"	"92"	"1"	0
"6"	"92"	"1"	0
"7"	"92"	"1"	0
"8"	"92"	"1"	0
"9"	"92"	"1"	0
"10"	"92"	"1"	0
"1"	"93"	"1"	0
"2"	"93"	"1"	3
"3"	"93"	"1"	0
"4"	"93"	"1"	3
"5"	"93"	"1"	0
"6"	"93"	"1"	0
"7"	"93"	"1"	0
"8"	"93"	"1"	0
"9"	"93"	"1"	0
"10"	"93"	"1"	0
"1"	"94"	"1"	0
"2"	"94"	"1"	8
"3"	"94"	"1"	0
"4"	"94"	"1"	4
"5"	"94"	"1"	0
"6"	"94"	"1"	0
"7"	"94"	"1"	0
"8"	"94"	"1"	2
"9"	"94"	"1"	0
"10"	"94"	"1"	1
"1"	"95"	"1"	1
"2"	"95"	"1"	0
"3"	"95"	"1"	0
"4"	"95"	"1"	1
"5"	"95"	"1"	0
"6"	"95"	"1"	0
"7"	"95"	"1"	0
"8"	"95"	"1"	3
"9"	"95"	"1"	0
"10"	"95"	"1"	0
"1"	"96"	"1"	2
"2"	"96"	"1"	8
