"species"	"site"	"season"	"count"
"1"	"74"	"1"	NA
"2"	"74"	"1"	NA
"3"	"74"	"1"	NA
"4"	"74"	"1"	NA
"5"	"74"	"1"	NA
"1"	"75"	"1"	3
"2"	"75"	"1"	0
"3"	"75"	"1"	0
"4"	"75"	"1"	6
"5"	"75"	"1"	7
"1"	"76"	"1"	0
"2"	"76"	"1"	0
"3"	"76"	"1"	0
"4"	"76"	"1"	0
"5"	"76"	"1"	0
"1"	"77"	"1"	0
"2"	"77"	"1"	0
"3"	"77"	"1"	0
"4"	"77"	"1"	0
"5"	"77"	"1"	3
"1"	"78"	"1"	0
"2"	"78"	"1"	0
"3"	"78"	"1"	0
"4"	"78"	"1"	0
"5"	"78"	"1"	0
"1"	"79"	"1"	1
"2"	"79"	"1"	0
"3"	"79"	"1"	0
"4"	"79"	"1"	2
"5"	"79"	"1"	2
"1"	"80"	"1"	NA
"2"	"80"	"1"	NA
"3"	"80"	"1"	NA
"4"	"80"	"1"	NA
"5"	"80"	"1"	NA
"1"	"81"	"1"	3
"2"	"81"	"1"	0
"3"	"81"	"1"	0
"4"	"81"	"1"	2
"5"	"81"	"1"	0
"1"	"82"	"1"	0
"2"	"82"	"1"	0
"3"	"82"	"1"	0
"4"	"82"	"1"	2
"5"	"82"	"1"	0
"1"	"83"	"1"	3
"2"	"83"	"1"	0
"3"	"83"	"1"	0
"4"	"83"	"1"	2
"5"	"83"	"1"	1
"1"	"84"	"1"	NA
"2"	"84"	"1"	NA
"3"	"84"	"1"	NA
"4"	"84"	"1"	NA
"5"	"84"	"1"	NA
"1"	"85"	"1"	2
"2"	"85"	"1"	0
"3"	"85"	"1"	0
"4"	"85"	"1"	5
"5"	"85"	"1"	2
"1"	"86"	"1"	2
"2"	"86"	"1"	2
"3"	"86"	"1"	0
"4"	"86"	"1"	12
"5"	"86"	"1"	0
"1"	"87"	"1"	0
"2"	"87"	"1"	0
"3"	"87"	"1"	0
"4"	"87"	"1"	0
"5"	"87"	"1"	0
"1"	"88"	"1"	0
"2"	"88"	"1"	0
"3"	"88"	"1"	0
"4"	"88"	"1"	2
"5"	"88"	"1"	1
"1"	"89"	"1"	0
"2"	"89"	"1"	0
"3"	"89"	"1"	0
"4"	"89"	"1"	4
"5"	"89"	"1"	0
"1"	"90"	"1"	0
"2"	"90"	"1"	0
"3"	"90"	"1"	0
"4"	"90"	"1"	0
"5"	"90"	"1"	0
"1"	"91"	"1"	1
"2"	"91"	"1"	0
"3"	"91"	"1"	0
"4"	"91"	"1"	2
"5"	"91"	"1"	1
"1"	"92"	"1"	0
"2"	"92"	"1"	0
"3"	"92"	"1"	0
"4"	"92"	"1"	1
